AssetName,AssetCode,InvestmentStrategy,AcquisitionType,AcquisitionDate,SaleDate,IsTaxCredit,ActualStabilizationDate,AreaType,AssetClass,AssetStyle,StabilizationStatus,OccupancyStabilizationDate,AxiometricsMSAID,AxiometricsSubMarketID,CoStarSubMarketID,CBSAID,oslPropertyID,oslSubPropertyID,AverageBuildYear,YearBuiltEnd,YearRenovated,CurrentUnitCount,RentableSquareFoot,ConstructionBeginDate,ConstructionEndDate,Acreage,AcquisitionPrice,TotalHardCosts,TotalSoftAndClosingCosts,TotalProjectCosts,IsSeniorHousing,IsUnitReno,IsRecapitalization,ZipCode,Latitude,Longitude,WebAddress,EmailAddress,osaEntityID,Phone,Address1,PlannedUnitCount,LegalName,TaxID,Portfolio,City,StateCode
"Cortland Viridian","vir30033","Value-Add","Acquisition",2015-09-30 00:00:00.0000000,2020-02-28 00:00:00.0000000,False,2017-08-13 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2017-08-13 00:00:00.0000000,12060,13,6715,12060,3734381,367,1985.000000,1985,,476,441420,2015-12-31 00:00:00.0000000,2017-08-31 00:00:00.0000000,31.059999999999999,58072000,11722155.0989,1562989.5373,71357144.636199996,False,True,False,"30033-3713",33.810529,-84.293947,"cortland.com/viridian","viridian@cortland.com","druidhills","(404) 795-4295","3421 N Druid Hills Rd",,"Druid Hills GA Partners, LLC","47-4638914","Portfolio 14","Decatur","GA"
"Cortland on Ponce","coronponce30030","Value-add","Acquisition",2022-06-28 00:00:00.0000000,,False,,"Suburban","A","Mid-rise","Non-Stabilized",2025-01-30 00:00:00.0000000,12060,13,6715,12060,4988101,1857,2015.000000,2015,,234,212022,,,,84400000,7490846,1047589,92938435,False,True,False,"30030-3233",33.777312,-84.300817,"cortland.com/ponce","ponce@cortland.com","ponce","(404) 973-2916","220 Ponce De Leon Pl",234,"Ponce De Leon GA Partners LLC","61-1870995","CGI","Decatur","GA"
"Cortland Prairie Creek","praircv75080","Value-Add","Acquisition",2019-09-27 00:00:00.0000000,,False,2022-09-03 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2022-09-03 00:00:00.0000000,19124,21,7538,19100,4559215,1241,1997.000000,1997,,464,464082,,,38.57,89546066.021959096,13775700.3790427,1052290.4293504399,104374056.83035199,False,True,False,"75080-1100",33.000673,-96.716195,"cortland.com/prairie-creek","prairiecreek@cortland.com","prairiecreek","(972) 503-4339","3560 - 3600 ALMA RD",,"PRAIRIE CREEK APTS LLC","45-5519669","Portfolio 22","RICHARDSON","TX"
"Mint Urban Infinity","mintuipp80246",,,,,False,,,,,"Non-Stabilized",,,,,,,,,,,,,,,,,,,,False,True,False,,,,,,,,,,,,,,
"Cortland at the Nations","corn37209","Core-Plus","Acquisition",2022-01-26 00:00:00.0000000,,False,2022-08-08 00:00:00.0000000,"Suburban","A","Mid-Rise","Stabilized",2022-08-08 00:00:00.0000000,34980,5,7960,34980,4922971,1730,2022.000000,2022,,343,277515,,,,128625000,552825,3164853,132342678,False,False,False,"37209-1597",36.162655,-86.845193,"cortland.com/at-the-nations","thenations@cortland.com","nations","(615) 903-8275","4731 Centennial Blvd",,"Centennial TN Partners LLC","85-2361889","Stand-alone","Nashville","TN"
"Ivy Park","ivyp30317","Opportunistic","Acquisition",2011-07-29 00:00:00.0000000,2014-12-19 00:00:00.0000000,False,2014-03-29 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2014-03-29 00:00:00.0000000,12060,13,6715,12060,2691030,22,1964.000000,1964,,176,140000,,,16,2650000,790058.81999999995,306049.70000000001,3746108.52,False,False,False,"30317-2504",33.745708,-84.318640,"ivyparkatlanta.com","ivypark@cortlandpartners.com","ivyprk","(404) 371-0003","2035 Memorial Dr SE",,,,"Stand-alone","Atlanta","GA"
"Cortland at Fredericksburg","presf78240","Value-Add","Acquisition",2017-07-31 00:00:00.0000000,2021-06-15 00:00:00.0000000,False,2018-09-08 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2018-09-08 00:00:00.0000000,41700,6,7590,41700,4216435,646,2009.000000,2009,,376,380936,,2018-05-31 00:00:00.0000000,,60500000,2594936,1860220,64955156,False,True,False,"78240-1339",29.539783,-98.583146,"cortland.com/fredericksburg","Fredericksburg@cortland.com","fredericksburg","(210) 750-6995","10422 Huebner Rd",,"Huebner TX Partners LLC","82-1972636","Stand-alone","San Antonio","TX"
"Cortland North Tucson","casli85704","Value-Add","Acquisition",2021-09-15 00:00:00.0000000,,False,2024-02-18 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2024-02-18 00:00:00.0000000,46060,6,8813,46060,4845197,1560,1987.000000,1987,,144,160624,,,,32000000,6349128.8174999999,698312.80132944405,39047441.618829399,False,True,False,"85704-4651",32.350760,-110.979982,"cortland.com/north-tucson","northtucson@cortland.com","casas","(520) 391-7986","699 W Magee Rd",,"Magee AZ Partners LLC","85-2361889","Stand-alone","Tucson","AZ"
"Cortland at the Village - Phase 1","villp130080","Value-Add","Acquisition",2014-06-30 00:00:00.0000000,2019-03-18 00:00:00.0000000,False,2019-09-02 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2019-09-02 00:00:00.0000000,12060,23,6713,12060,3362715,202,1983.000000,1983,,301,320405,2014-12-31 00:00:00.0000000,2015-03-31 00:00:00.0000000,24.896000000000001,28800000,1593611,755580,31149191,False,True,False,"30080-7698",33.894969,-84.489911,"www.cortland.com/village","Villagers@cortland.com","village1","(770) 343-3358","2085 Lake Park Dr SE",,"Lake Park Partners - Phase 1, LLC","46-5735874","Portfolio 10","Smyrna","GA"
"Cortland North Haven","norh77433","Core-Plus","Acquisition",2018-01-19 00:00:00.0000000,,False,2018-02-18 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2018-02-18 00:00:00.0000000,26420,22,6836,26420,4266912,691,2016.000000,2016,,310,362154,2018-02-28 00:00:00.0000000,2018-03-31 00:00:00.0000000,,49500000,411255,2799064,52710319,False,False,False,"77433-0062",29.966059,-95.696411,"cortland.com/north-haven","northhaven@cortland.com","northhaven","(281) 502-4291","17802 Mound Rd",,"Mound TX Partners LLC","82-3102419","Portfolio 20","Cypress","TX"
"Sweetwater","sweetnan","Opportunistic",,2014-12-31 00:00:00.0000000,2021-12-21 00:00:00.0000000,False,,,,,"Non-Stabilized",,,,,,,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,"Stand-alone",,
"Village Lakes","vill28212","Opportunistic","Acquisition",2015-01-30 00:00:00.0000000,2015-05-01 00:00:00.0000000,False,,"Suburban","C","Garden-Style","Non-Stabilized",,16740,6,7779,16740,3519494,294,1986.000000,1986,,384,322184,,2015-04-01 00:00:00.0000000,,22750000,0,756398,23506398,False,True,False,"28212-0079",35.161243,-80.741760,"http://www.liveatvillagelakes.","villagelakes@cortlandpartners.com","villagelakes","(704) 568-5910","2300 Village Lake Dr",,,,"Charlotte Opportunity","Charlotte","NC"
"Cortland Mill District - Phase 2","cormilld255415","Core-plus","Acquisition",2022-06-28 00:00:00.0000000,,False,,"Urban","A","High-rise","Non-Stabilized",,33460,1,7257,33460,4988100,1868,2015.000000,2015,,2,10343,,,,109800000,,,,False,False,False,"55415-1471",44.980135,-93.263490,"cortland.com/mill-district","milldistrict@cortland.com","milldistrictCOMM","(612) 268-6836","313 Washington Ave S",2,"Washington MN Partners, LLC","61-1870995","CGI","Minneapolis","MN"
"Abbie Lakes","abbl43110","Value-Add","Acquisition",2014-09-30 00:00:00.0000000,,False,2014-10-30 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2014-10-30 00:00:00.0000000,18140,10,8022,18140,3388190,230,2003.000000,2003,,224,208656,2014-11-30 00:00:00.0000000,2016-05-31 00:00:00.0000000,25.300000000000001,12600000,1774592,748688.57050000003,15123280.570499999,False,True,False,"43110-8055",39.903951,-82.816416,"http://www.abbielakesapts.com","abbielakes@cortland.com","abbielakes","(614) 697-2639","3833 Abbie Lakes Dr",,"Abbie Lakes OH Partners, LLC","47-0985770","Parkwood-Ohio","Canal Winchester","OH"
"Heritage Station Senior","herss30310","Opportunistic","Development",2004-08-01 00:00:00.0000000,2022-01-04 00:00:00.0000000,True,2012-02-20 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2012-02-20 00:00:00.0000000,12060,5,6751,12060,2691027,20,2006.000000,2006,,150,127380,,2011-08-31 00:00:00.0000000,4.0599999999999996,,,,14136096,True,False,False,"30310-5318",33.733958,-84.401985,"http://www.heritagestationatla","heritagestation@cortlandpartners.com","hrtgsts","(404) 588-5522","765 Mcdaniel St SW",,"Pittsburgh Phase II, LP","20-1065934","3rd Party Management","Atlanta","GA"
"Cortland Luxe Shadow Creek","luxscr77584","Core-Plus","Acquisition",2018-10-23 00:00:00.0000000,,False,2019-07-28 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2019-07-28 00:00:00.0000000,26420,15,6856,26420,4412162,1063,2018.000000,2018,,324,343826,2018-11-30 00:00:00.0000000,2019-05-31 00:00:00.0000000,,58777788,869989,2174806,61822583,False,True,False,"77584-3785",29.577813,-95.419246,"cortland.com/luxe-shadow-creek","LuxeShadowCreek@cortland.com","luxe","(713) 561-5903","1930 Kingsley Dr",,"DD SCR VI LLC","46-2596884","Portfolio 20","Pearland","TX"
"Cortland Gateway Park","lakgpbre280239","Core-Plus","Acquisition",2021-07-01 00:00:00.0000000,,False,2019-12-22 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2019-12-22 00:00:00.0000000,19740,10,7810,19740,4232618,1541,2001.000000,2001,,440,426464,,,,151500000,1272852,912788.98584748199,153685640.985847,False,False,True,"80239-5752",39.777071,-104.804954,"www.cortlandgatewaypark.com","GatewayPark@cortland.com","lakecrestbre","(720) 619-3161","4699 Kittredge St N",,,"86-3509372","Acorn 2","Denver","CO"
"Cortland Fillmore","purf85003","Core-Plus","Acquisition",2019-09-27 00:00:00.0000000,2021-07-29 00:00:00.0000000,False,2019-10-27 00:00:00.0000000,"Infill","A","Garden-Style","Stabilized",2019-10-27 00:00:00.0000000,38060,1,7841,38060,4559226,1230,2016.000000,2016,,230,214764,,,4.0099999999999998,56067863.480173998,884103.22900000005,693816.27627960604,57645782.985453598,False,False,False,"85003-0013",33.454086,-112.081982,"cortland.com/fillmore","fillmore@cortland.com","fillmore","(602) 254-2748","601 W Fillmore St",,"PURE FILLMORE APTS LLC","82-3260585","Portfolio 22","Phoenix","AZ"
"Cortland Jubilee Park","corjp32822","Core-Plus","Acquisition",2018-07-17 00:00:00.0000000,,False,2018-08-16 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2018-08-16 00:00:00.0000000,36740,2,7502,36740,4372067,775,2015.000000,2015,,330,384472,2018-08-31 00:00:00.0000000,2020-07-31 00:00:00.0000000,24.66,65750000,2207471,2652785,70610256,False,True,False,"32822-5001",28.456206,-81.288463,"www.cortlandjubileepark.com","jubileepark@cortland.com","jubileepark","(407) 565-7984","6850 Merryvale Ln",,"Merryvale FL Partners, LLC","83-0951697","GTIS Portfolio","Orlando","FL"
"Gallery","gal33615","Value-Add","Acquisition",2014-06-30 00:00:00.0000000,2019-04-01 00:00:00.0000000,False,2018-01-29 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2018-01-29 00:00:00.0000000,45300,3,7910,45300,3362723,201,1989.000000,1991,,320,319940,2014-08-31 00:00:00.0000000,2017-10-31 00:00:00.0000000,19.100000000000001,36566296.496200003,2307951.4270000001,1783079.7975999999,40657327.720799997,False,True,False,"33615-3675",28.002211,-82.602257,"www.islandwalkapartments.com","IslandWalk@cortland.com","gallery","(813) 855-4834","5365 Harborside Dr",,"Harborside FL Condo Partners, LLC","46-5735770","Portfolio 10","Tampa","FL"
"Cortland Galleria","5thous75244","Value-Add","Acquisition",2017-07-31 00:00:00.0000000,,False,2019-05-24 00:00:00.0000000,"Infill","B","Garden-Style","Stabilized",2019-05-24 00:00:00.0000000,19124,19,7515,19100,4216870,644,2008.000000,2008,,333,290755,,,,57000000,7724109,1913173,66637282,False,True,False,"75244-5331",32.929797,-96.823809,"cortland.com/galleria","galleria@cortland.com","broadstone","(972) 818-5803","5005 Galleria",,"Galleria TX Partners LLC","82-1956572","Stand-alone","Farmers Branch","TX"
"Cortland Watermark","watec30062","Value-Add","Acquisition",2013-02-01 00:00:00.0000000,2017-12-21 00:00:00.0000000,False,,"Suburban","B","Garden-Style","Non-Stabilized",,12060,28,6713,12060,2911004,44,1988.000000,1988,,510,535896,2013-05-31 00:00:00.0000000,2014-09-30 00:00:00.0000000,58.899999999999999,34625000,8845595.7988000009,2407676.8999999999,45878272.698799998,False,True,False,"30062-3868",33.965153,-84.496018,"cortland.com/watermark","watermark@cortland.com","eastlake","(770) 343-3910","2000 E Lake Pkwy",,"East Lake Apartment Partners, LLC","46-1376644","Stand-alone","Marietta","GA"
"Greens at Windy Hill","greenwh30080","Opportunistic","Acquisition",2011-08-29 00:00:00.0000000,2016-05-27 00:00:00.0000000,False,2012-10-16 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2012-10-16 00:00:00.0000000,12060,23,6713,12060,2691025,18,1971.000000,1971,,188,213316,,,,4800000,1916220.75,426623.15999999997,7142843.9100000001,False,False,False,"30080-2023",33.894055,-84.525638,"www.thegreensatwindyhill.com","greens@cortlandpartners.com","greens","(770) 436-5121","970 Windy Hill Rd SE",,"Greens Marietta, LLC","45-2663745","Portfolio IV","Smyrna","GA"
"Cortland League City","broadwcHL77573","Value-Add","Acquisition",2021-04-02 00:00:00.0000000,,False,2019-12-04 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2019-12-04 00:00:00.0000000,26420,30,6852,26420,4559242,1486,2008.000000,2008,,352,326492,,,18.690000000000001,71198546.206242204,5165842.78779185,999445.04581646598,77363834.039850593,False,True,False,"77573-4191",29.493294,-95.096192,"cortland.com/league-city","LeagueCity@cortland.com","leaguecityhl","(281) 767-8927","1751 W Walker St",,"PURE WALKER COMMONS LLC","46-5705296","Portfolio 22","League City","TX"
"Cortland Belmar","corb80226",,,,,False,,,,,"Non-Stabilized",,,,,,,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,
"Attiva Court","attc89121","Value-Add","Acquisition",2016-10-27 00:00:00.0000000,2020-01-10 00:00:00.0000000,False,2018-07-21 00:00:00.0000000,"Infill","A","Garden-Style","Stabilized",2018-07-21 00:00:00.0000000,29820,2,7866,29820,4064827,455,1997.000000,1997,,180,122244,2017-02-28 00:00:00.0000000,2018-01-31 00:00:00.0000000,,12925000,2408898,793257,16127155,True,True,False,"89121-2593",36.131007,-115.090434,"www.attivacourt.com","AttivaCourt@cortland.com","attcourt","(702) 641-4700","3210 S Sandhill Rd",,"Sandhill NV Partners LLC","81-4056771","Vegas Portfolio","Las Vegas","NV"
"Town Plaza","towp78102",,,,,False,,"Suburban",,,"Non-Stabilized",,13300,,,13300,3426824,242,1973.000000,1973,,64,52204,,,,1607619,,,,False,False,False,"78102-6921",28.387620,-97.738202,"www.town-plaza.com","townplaza@cortlandpartners.com","townplaza","(361) 358-2061","1700 Mayfair Dr",,,,,"Beeville","TX"
"Cortland South Mountain","corsm85283","Value-Add","Acquisition",2020-09-29 00:00:00.0000000,,False,2023-08-25 00:00:00.0000000,"Suburban","C","Garden-Style","Stabilized",2023-08-25 00:00:00.0000000,38060,13,7860,38060,4693422,1444,2009.000000,2009,,415,416960,2020-11-30 00:00:00.0000000,2023-04-30 00:00:00.0000000,,96750000,11304975.0136825,2101748.50397019,110156723.517653,False,True,False,"85283-4337",33.356398,-111.960805,"cortland.com/south-mountain","southmountain@cortland.com","metropointecbre","(480) 680-0065","7017 S Priest Dr",,"South Priest AZ Partners LLC ","85-2361889","Stand-alone","Tempe","AZ"
"Cortland Avion Shadow Creek","avscr77584","Core-Plus","Acquisition",2018-02-28 00:00:00.0000000,,False,2018-03-30 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2018-03-30 00:00:00.0000000,26420,32,6856,26420,4266911,711,2016.000000,2016,,276,320443,2018-03-31 00:00:00.0000000,2018-04-30 00:00:00.0000000,,52147225,411255,1835710,54394190,False,False,False,"77584-4116",29.574973,-95.416952,"cortland.com/avion-shadow-creek","avionshadowcreek@cortland.com","shadowcreek","(713) 561-5930","2101 Kingsley Dr",,"DD SCR V LLC","46-2609733","Portfolio 20","Pearland","TX"
"Cortland Good Latimer","purfm75226","Core-Plus","Acquisition",2019-09-27 00:00:00.0000000,2022-07-26 00:00:00.0000000,False,2020-02-09 00:00:00.0000000,"Infill","A","Garden-Style","Stabilized",2020-02-09 00:00:00.0000000,19124,1,7509,19100,4559224,1245,2016.000000,2016,,340,280223,,,7.1399999999999997,58708741.107863396,2251677.6922499998,1049813.60062324,62010232.4007366,False,False,False,"75226-1801",32.777596,-96.785713,"cortland.com/good-latimer","goodlatimer@cortland.com","farmersmkt","(214) 571-9900","835 S Good Latimer Expy",,"PURE FMA LLC","82-2571227","Portfolio 22","Dallas","TX"
"Cortland Fossil Creek","avpfcpp76137",,,,,False,,,,"Garden-Style","Non-Stabilized",,,,,,,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,
"Village at Lake Park","villppp30080",,,,,False,,,,"Garden-Style","Non-Stabilized",,,,,,,,,,,,,,,116.3,,,,,False,False,False,,,,,,,,,,"Lake Park Partners - Phase 1, LLC","46-5735874",,,
"Cortland Boca Raton","broadnbv33487","Core-Plus","Acquisition",2019-07-18 00:00:00.0000000,2022-10-17 00:00:00.0000000,False,2022-02-06 00:00:00.0000000,"Infill","A","Garden-Style","Stabilized",2022-02-06 00:00:00.0000000,48424,1,7598,33100,4540000,1220,2012.000000,2012,,384,412504,2019-09-30 00:00:00.0000000,2021-08-31 00:00:00.0000000,17.399999999999999,120960000,5015183,1516339,127491522,False,False,False,"33487-1709",26.419858,-80.075536,"cortland.com/boca-raton","BocaRaton@cortland.com","bocaraton","(561) 997-0996","7801 N Federal Hwy",,"CLPF North Boca Village","84-2146867","3rd Party Management","Boca Raton","FL"
"Mint Urban Infinity - Phase 2","mintui280246","Value-add","Acquisition",2022-06-28 00:00:00.0000000,,False,2024-03-28 00:00:00.0000000,"Urban","B","High-rise","Stabilized",2024-03-28 00:00:00.0000000,19740,11,7796,19740,4988129,1864,1962.000000,1962,,344,237458,,,,96270944.739999995,19362621,2633139,118266705,False,True,False,"80246-7706",39.694718,-104.938420,"minturbaninfinity.com","info@minturbaninfinity.com","mint2","(720) 386-7650","1251 S Bellaire St",561,"Bellaire CO Partners I, LLC and Bellaire CO Partners II, LLC","61-1870995","CGI","Denver","CO"
"Cortland Copper Springs","cops77041","Value-Add","Acquisition",2015-01-30 00:00:00.0000000,2019-04-01 00:00:00.0000000,False,2017-01-21 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2017-01-21 00:00:00.0000000,26420,10,6836,26420,3519459,290,2003.000000,2003,,376,354720,2015-02-28 00:00:00.0000000,2016-10-31 00:00:00.0000000,18.629999999999999,40982120,5707770.8832,1445777.8868,48135668.770000003,False,True,False,"77041-6082",29.896639,-95.602800,"cortland.com/copper-springs","coppersprings@cortland.com","coppersprings","(281) 502-4263","13333 West Rd",,"West Road TX Partners, LLC","47-2673005","Portfolio 12","Houston","TX"
"Cortland University North","huncoef28262","Core-Plus","Acquisition",2018-12-14 00:00:00.0000000,,False,2017-04-16 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2017-04-16 00:00:00.0000000,16740,5,7783,16740,3519469,1101,1990.000000,1990,2016,300,273012,,,22.370000000000001,40300000,1453684.2105263199,490873.53394915501,42244557.744475499,False,True,True,"28262-2444",35.326850,-80.729994,"cortland.com/apartments/cortland-university-north","universitynorth@cortland.com","huntcluboef","(704) 318-2291","100 Heritage Pointe Rd",,,,"CGI","Charlotte","NC"
"Cortland Peachtree Corners","echl30092","Core-Plus","Acquisition",2019-09-13 00:00:00.0000000,,False,2020-07-05 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2020-07-05 00:00:00.0000000,12060,31,6727,12060,4560716,1226,2018.000000,2018,,296,239602,2019-10-31 00:00:00.0000000,2020-09-30 00:00:00.0000000,14.039999999999999,66100000,1575310.4532000001,1151374.5063125801,68826684.959512606,False,False,False,"30092-3548",33.958492,-84.219401,"cortland.com/peachtree-corners","PeachtreeCorners@cortland.com","peachtreecorners","(404) 999-4052","510 Guthridge Ct",,,,"CGI","Peachtree Corners","GA"
"Ten Oaks","teno30046","Value-Add","Acquisition",2014-06-30 00:00:00.0000000,2016-02-19 00:00:00.0000000,False,2014-07-30 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2014-07-30 00:00:00.0000000,12060,34,6730,12060,3362719,199,2008.000000,2008,,288,279316,2014-08-31 00:00:00.0000000,2015-03-31 00:00:00.0000000,24.390000000000001,29000000,2327964,1048959.95,32376923.949999999,False,True,False,"30046-8738",33.969801,-84.008280,"www.10oaksliving.com","tenoaks@cortlandpartners.com","tenoaks","(770) 822-3464","405 Philip Blvd",,"Philip Blvd Apartment Partners, LLC","47-0978200","Portfolio 10","Lawrenceville","GA"
"Cortland Broomfield","atra80021","Core-Plus","Acquisition",2017-12-19 00:00:00.0000000,,False,2018-04-26 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2018-04-26 00:00:00.0000000,19740,8,7788,19740,4266910,704,2016.000000,2016,,240,254412,2017-12-31 00:00:00.0000000,2017-01-31 00:00:00.0000000,,61368938,411255,1838466,63618659,False,True,False,"80021-4281",39.906797,-105.093660,"cortland.com/broomfield","broomfield@cortland.com","arista","(720) 613-9812","11585 Destination Dr",,"DD Arista Partners LLC","80-0892087","Portfolio 20","Broomfield","CO"
"Cortland Brackenridge","bracm78209","Core-Plus","Acquisition",2019-09-27 00:00:00.0000000,,False,2019-10-27 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2019-10-27 00:00:00.0000000,41700,2,7588,41700,4559202,1236,2014.000000,2014,,282,240205,,,9.6099999999999994,47261552.313994497,2122702.9013514798,365459.25024302298,49749714.465589002,False,True,False,"78209-7009",29.451806,-98.469114,"cortland.com/brackenridge","Brackenridge@cortland.com","brackenridge","(210) 817-5485","223 Brackenridge Ave",,"PURE BRACK APTS LLC","47-4602223","Portfolio 22","San Antonio","TX"
"Cortland Decatur East","echpp30030",,,,,False,,,,,"Non-Stabilized",,,,,,,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,
"Cortland Perimeter Park","sorpp27560","Core-Plus","Acquisition",2018-10-23 00:00:00.0000000,2024-07-18 00:00:00.0000000,False,2019-07-17 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2019-07-17 00:00:00.0000000,239580,6,7346,39580,4412163,1061,2018.000000,2018,,262,269232,2018-11-30 00:00:00.0000000,2019-05-31 00:00:00.0000000,,54632399,1063291,1968207,57663897,False,True,False,"27560-8871",35.866905,-78.829693,"www.cortland.com/perimeter-par","PerimeterPark@cortland.com","perimeterpark","(919) 804-1633","3055 Carrington Mill Blvd",,"DD Perimeter Park LLC","47-5202610","Portfolio 20","Morrisville","NC"
"Cortland at Stonebriar","corspp75035","Core-Plus","Acquisition",,,False,,,,"Mid-Rise","Non-Stabilized",,,,,,,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,
"Cortland Mooresville","sormpbre28117","Core-Plus","Acquisition",2020-02-28 00:00:00.0000000,2023-10-03 00:00:00.0000000,False,2018-07-05 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2018-07-05 00:00:00.0000000,16740,14,,16740,4266913,1354,2017.000000,2017,,203,208685,,,8.6600000000000001,43733513,,,,False,True,True,"28117-5640",35.586897,-80.881119,"cortland.com/mooresville","mooresville@cortland.com","morrisonbre","(704) 360-9225","151 Capital Ave",,,"84-4601448","Acorn 1","Mooresville","NC"
"Seneca Place","senp50588",,,,,False,,"Suburban",,,"Non-Stabilized",,44740,,,44740,3426822,240,,,,48,37264,,,,,,,,False,False,False,"50588-1916",42.656725,-95.196069,"","senecaplace@cortlandpartners.com","seneca","(712) 732-1969","1405 Seneca St",,,,,"Storm Lake","IA"
"Cortland Museum District","cormd77004","Core-plus","Acquisition",2024-08-29 00:00:00.0000000,,False,2024-09-28 00:00:00.0000000,"Urban","A","High-rise","Stabilized",2024-09-28 00:00:00.0000000,26420,2,6850,26420,5392847,2170,2017.000000,2017,,233,303351,,,,86000000,,,,False,False,False,"77004-5882",29.726692,-95.385677,"https://www.cortland.com/museu","museumdistrictdistro@cortland.com","southmore","(346) 576-4689","5280 Caroline St",233,"Caroline TX Partners LP","99-4504073","Stand-alone","Houston","TX"
"The Flats at Westover Hills","flatwh78245","Value-Add","Acquisition",2015-08-28 00:00:00.0000000,2020-02-28 00:00:00.0000000,False,,"Suburban","B","Garden-Style","Non-Stabilized",,41700,4,7584,41700,3712020,347,2006.000000,2006,,272,235168,2016-02-29 00:00:00.0000000,2017-07-31 00:00:00.0000000,12.74,22440000,6554946.7379999999,1141472.0736,30136418.8116,False,True,False,"78245-2111",29.427822,-98.654283,"https://www.flatsatwestoverhills.com","TheFlats@cortland.com","theflats","(210) 741-9947","1538 Cable Ranch Rd",,"Cable Ranch TX Apartment Partners, LLC","47-4222416","Portfolio 14","San Antonio","TX"
"Cortland Biltmore","Corb85016","Core-Plus","Acquisition",2020-10-08 00:00:00.0000000,,False,2023-08-31 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2023-08-31 00:00:00.0000000,38060,2,7840,38060,4698067,1426,2020.000000,2020,,253,236589,2020-11-30 00:00:00.0000000,2022-04-30 00:00:00.0000000,,117000000,1646405.2848012701,2061502.0234582,120707907.308259,False,False,False,"85016-4470",33.509714,-112.022568,"cortland.com/biltmore","biltmoreapts@cortland.com","theangela","(602) 875-0349","2727 E Camelback Rd",,"Camelback AZ Partners LLC","83-2495528","CGI","Phoenix","AZ"
"Harbor View","harv77345","Core-Plus","Acquisition",2012-10-19 00:00:00.0000000,2019-10-28 00:00:00.0000000,False,2019-03-18 00:00:00.0000000,"Suburban","A","Mid-Rise","Stabilized",2019-03-18 00:00:00.0000000,26420,28,6853,26420,2801923,40,2010.000000,2010,,250,231353,,2018-09-30 00:00:00.0000000,4.7999999999999998,25000000,1146711.8799999999,1111137.72,27257849.600000001,False,True,False,"77345-2283",30.034641,-95.172891,"www.liveatharborview.com","harborview@cortland.com","harborvw","(281) 360-0896","4855 Magnolia Cove Dr",,"Magnolia Cove TX Partners, LLC","46-0596042","Portfolio 6","Kingwood","TX"
"Cortland Satori","cosa1233782",,,,,False,,,,"Garden-Style","Non-Stabilized",,,,,,,,,,,,,,,,,,,,False,False,False,,,,,,,,,,"DD Gandy 12.98 LLC ","83-2495528 ",,,
"Attiva Pearland - Phase II","attp277581","Opportunistic","Development",2017-06-27 00:00:00.0000000,,False,,,,,"Non-Stabilized",,26420,32,6856,26420,,,,,,,,,2020-08-01 00:00:00.0000000,12.9055,1465408.95,18072000,5628261.2131741401,25165670.1631741,True,False,False,,29.532535,-95.267234,,,,,,126,,,"Stand-alone","Pearland","TX"
"Cortland Cary - Phase 1","CorcM27519","Core-Plus","Acquisition",2020-08-05 00:00:00.0000000,,False,2021-09-21 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2021-09-21 00:00:00.0000000,239580,6,7346,39580,4755410,1394,2019.000000,2019,,205,194587,2020-09-30 00:00:00.0000000,2022-02-28 00:00:00.0000000,,49200000,832750,1682970.6863531801,51715720.686353199,False,False,False,"27519-7640",35.832523,-78.879899,"cortland.com/cary","Cary@cortland.com","cary","(919) 689-4956","5110 Alston Glen Dr",,"USRIG Scenic Club NC Partners LP ","85-1605713 ","Yieldco II","Cary","NC"
